ID,true_labels,pred_labels
198,Clear Reply,Ambivalent
199,Ambivalent,Ambivalent
200,Ambivalent,Ambivalent
201,Ambivalent,Clear Reply
202,Ambivalent,Ambivalent
203,Ambivalent,Ambivalent
204,Ambivalent,Ambivalent
205,Ambivalent,Ambivalent
206,Ambivalent,Clear Reply
207,Ambivalent,Ambivalent
208,Ambivalent,Ambivalent
209,Ambivalent,Clear Reply
210,Ambivalent,Ambivalent
211,Ambivalent,Ambivalent
212,Ambivalent,Clear Reply
213,Ambivalent,Ambivalent
214,Ambivalent,Ambivalent
215,Ambivalent,Ambivalent
216,Ambivalent,Ambivalent
217,Ambivalent,Ambivalent
218,Ambivalent,Ambivalent
219,Clear Reply,Ambivalent
220,Ambivalent,Ambivalent
221,Clear Reply,Ambivalent
222,Ambivalent,Ambivalent
223,Clear Reply,Ambivalent
224,Clear Reply,Clear Reply
225,Ambivalent,Ambivalent
226,Ambivalent,Ambivalent
227,Ambivalent,Ambivalent
228,Ambivalent,Ambivalent
229,Clear Reply,Ambivalent
230,Ambivalent,Ambivalent
231,Ambivalent,Ambivalent
232,Ambivalent,Ambivalent
233,Ambivalent,Ambivalent
234,Ambivalent,Ambivalent
235,Ambivalent,Ambivalent
236,Clear Reply,Ambivalent
237,Clear Non-Reply,Clear Non-Reply
238,Ambivalent,Ambivalent
239,Clear Reply,Ambivalent
240,Clear Non-Reply,Ambivalent
241,Ambivalent,Ambivalent
242,Clear Reply,Clear Reply
243,Ambivalent,Ambivalent
244,Ambivalent,Ambivalent
245,Ambivalent,Clear Reply
246,Ambivalent,Clear Reply
247,Clear Reply,Clear Reply
248,Ambivalent,Ambivalent
249,Clear Reply,Clear Reply
250,Clear Reply,Ambivalent
251,Ambivalent,Ambivalent
252,Clear Reply,Ambivalent
253,Ambivalent,Ambivalent
254,Ambivalent,Ambivalent
255,Clear Reply,Ambivalent
256,Ambivalent,Ambivalent
257,Clear Reply,Ambivalent
258,Clear Non-Reply,Ambivalent
259,Clear Reply,Ambivalent
260,Clear Reply,Clear Reply
261,Ambivalent,Ambivalent
262,Ambivalent,Ambivalent
263,Clear Non-Reply,Ambivalent
264,Clear Non-Reply,Ambivalent
265,Clear Non-Reply,Clear Reply
266,Ambivalent,Ambivalent
267,Clear Reply,Ambivalent
268,Clear Reply,Ambivalent
269,Ambivalent,Ambivalent
270,Ambivalent,Ambivalent
271,Ambivalent,Ambivalent
272,Ambivalent,Ambivalent
273,Ambivalent,Ambivalent
274,Ambivalent,Ambivalent
275,Ambivalent,Ambivalent
276,Ambivalent,Ambivalent
277,Clear Non-Reply,Ambivalent
278,Ambivalent,Ambivalent
279,Ambivalent,Ambivalent
280,Ambivalent,Ambivalent
281,Ambivalent,Clear Reply
282,Clear Reply,Clear Reply
283,Ambivalent,Ambivalent
284,Ambivalent,Ambivalent
285,Clear Non-Reply,Clear Non-Reply
286,Ambivalent,Ambivalent
287,Ambivalent,Ambivalent
288,Clear Non-Reply,Ambivalent
289,Ambivalent,Ambivalent
290,Clear Reply,Ambivalent
291,Clear Reply,Ambivalent
292,Clear Reply,Clear Reply
293,Clear Reply,Ambivalent
294,Ambivalent,Ambivalent
295,Ambivalent,Ambivalent
296,Ambivalent,Ambivalent
297,Ambivalent,Ambivalent
298,Clear Reply,Ambivalent
299,Clear Reply,Clear Reply
300,Clear Non-Reply,Clear Non-Reply
301,Ambivalent,Ambivalent
302,Ambivalent,Ambivalent
303,Ambivalent,Ambivalent
304,Ambivalent,Ambivalent
305,Clear Reply,Ambivalent
306,Ambivalent,Ambivalent
307,Clear Reply,Ambivalent
