,is_truncated,true_labels,pred_labels
248,False,Ambivalent,Ambivalent
249,False,Clear Reply,Clear Reply
250,False,Clear Reply,Ambivalent
251,True,Ambivalent,Clear Non-Reply
252,False,Clear Reply,Ambivalent
253,True,Ambivalent,Ambivalent
254,False,Ambivalent,Clear Non-Reply
255,True,Clear Reply,Clear Reply
256,True,Ambivalent,Ambivalent
257,False,Clear Reply,Ambivalent
258,False,Clear Non-Reply,Clear Non-Reply
259,True,Clear Reply,Clear Reply
260,False,Clear Reply,Clear Non-Reply
261,True,Ambivalent,Ambivalent
262,True,Ambivalent,Ambivalent
263,False,Clear Non-Reply,Clear Non-Reply
264,False,Clear Non-Reply,Ambivalent
265,False,Clear Non-Reply,Clear Non-Reply
266,True,Ambivalent,Clear Reply
267,True,Clear Reply,Ambivalent
268,True,Clear Reply,Ambivalent
269,True,Ambivalent,Ambivalent
270,True,Ambivalent,Clear Reply
271,True,Ambivalent,Clear Non-Reply
272,False,Ambivalent,Ambivalent
273,True,Ambivalent,Ambivalent
274,False,Ambivalent,Ambivalent
275,False,Ambivalent,Ambivalent
276,True,Ambivalent,Clear Non-Reply
277,True,Clear Non-Reply,Clear Non-Reply
278,False,Ambivalent,Ambivalent
279,True,Ambivalent,Ambivalent
280,True,Ambivalent,Ambivalent
281,False,Ambivalent,Clear Reply
282,False,Clear Reply,Clear Reply
283,True,Ambivalent,Ambivalent
284,True,Ambivalent,Ambivalent
285,False,Clear Non-Reply,Clear Non-Reply
286,False,Ambivalent,Clear Non-Reply
287,False,Ambivalent,Ambivalent
288,False,Clear Non-Reply,Ambivalent
289,True,Ambivalent,Clear Reply
290,True,Clear Reply,Clear Reply
291,False,Clear Reply,Ambivalent
292,True,Clear Reply,Clear Reply
293,True,Clear Reply,Clear Reply
294,False,Ambivalent,Ambivalent
295,True,Ambivalent,Ambivalent
296,True,Ambivalent,Ambivalent
297,False,Ambivalent,Clear Non-Reply
298,False,Clear Reply,Clear Reply
299,False,Clear Reply,Clear Reply
300,False,Clear Non-Reply,Clear Non-Reply
301,True,Ambivalent,Ambivalent
302,True,Ambivalent,Ambivalent
303,True,Ambivalent,Ambivalent
304,True,Ambivalent,Ambivalent
305,True,Clear Reply,Clear Non-Reply
306,False,Ambivalent,Ambivalent
307,False,Clear Reply,Ambivalent
